Annual_Income,Spending_Score,Age
69.6,85.4,31.8
72.5,75.9,24.7
79.5,27.6,37.1
84.0,15.8,38.7
79.1,11.7,40.6
70.4,35.7,45.3
74.4,21.7,44.1
78.2,24.9,51.1
75.8,15.4,42.8
61.6,7.9,55.9
93.2,18.0,49.6
82.5,44.6,54.0
79.0,12.4,32.1
81.6,13.9,33.6
74.8,11.3,58.5
87.1,19.9,56.8
80.6,13.1,57.2
84.3,11.7,43.5
73.0,8.9,52.4
95.3,8.8,49.5
74.8,16.1,40.3
73.1,20.4,38.4
82.2,19.6,43.1
72.7,15.4,51.0
84.0,12.2,45.8
86.0,6.6,49.3
74.7,24.6,38.9
65.6,7.0,45.4
82.1,12.8,50.1
66.7,19.5,35.3
74.8,20.4,38.1
76.9,28.1,40.4
86.7,11.0,49.2
91.5,1.0,38.6
84.6,18.4,48.0
75.2,20.7,43.8
89.3,22.0,47.7
76.7,16.1,41.5
83.2,16.6,47.3
96.6,27.0,42.4
89.6,16.7,28.7
71.9,5.0,42.2
80.1,33.4,47.6
78.2,26.6,27.3
81.9,26.2,33.2
89.2,22.7,41.7
85.1,38.2,46.5
82.0,16.3,38.2
86.6,13.2,45.6
76.2,23.8,47.7
88.3,15.9,42.8
72.2,16.4,48.0
86.1,12.6,52.0
90.8,23.3,60.0
73.8,10.0,30.8
92.0,25.2,44.6
82.2,11.0,64.6
81.0,20.9,50.8
83.8,21.8,38.7
83.8,35.1,55.8
92.7,15.9,37.1
79.0,20.4,53.8
66.5,32.2,43.7
76.6,11.9,31.8
86.6,20.6,34.7
69.6,17.3,58.4
77.9,8.0,43.0
77.8,1.0,44.6
78.2,25.6,59.8
89.0,17.8,36.1
100.6,20.5,45.1
79.8,21.6,43.8
75.4,15.6,44.7
75.7,14.3,45.9
78.0,32.0,23.8
88.7,30.0,28.4
77.3,17.0,33.7
73.8,11.1,59.0
87.5,30.2,50.8
71.0,15.8,48.9
70.2,25.7,43.1
77.0,25.7,48.6
77.1,29.3,36.4
84.9,24.7,42.5
82.6,10.0,52.4
78.5,15.8,53.4
74.4,8.7,32.5
84.8,9.8,59.0
63.3,33.6,46.7
79.2,15.6,48.2
79.7,28.8,45.9
81.2,17.1,44.5
82.5,6.3,34.2
85.9,21.4,43.5
80.1,22.8,40.7
73.8,21.6,37.2
83.3,6.4,53.2
83.8,22.0,52.9
93.3,28.1,30.3
69.8,15.0,45.2
84.1,14.2,46.5
74.0,15.1,33.7
72.6,9.2,37.2
88.4,12.4,66.1
83.9,21.5,38.1
85.6,15.4,46.0
100.5,19.2,54.2
74.4,19.7,59.2
75.0,34.5,50.7
75.5,25.1,52.8
85.0,7.4,39.2
78.0,19.4,50.0
81.4,9.3,48.0
84.9,24.5,53.6
86.7,23.7,44.4
66.7,23.4,46.7
82.2,9.8,36.4
88.4,19.7,50.5
80.2,20.2,52.5
75.9,20.8,41.3
76.5,17.5,46.8
76.2,30.0,37.8
78.5,16.5,56.6
81.6,28.3,33.1
82.1,27.1,45.7
88.5,15.9,56.3
98.4,17.1,41.4
91.6,32.6,40.8
76.6,17.7,34.2
72.7,12.0,38.9
79.7,21.9,57.4
72.0,27.9,43.3
79.6,25.4,36.0
83.1,21.3,48.9
82.3,39.6,39.9
75.8,15.0,40.6
74.9,29.5,56.4
75.4,13.3,48.8
75.6,25.1,46.6
67.9,32.4,59.4
75.1,16.9,47.3
82.7,25.3,61.1
78.6,13.6,34.0
74.2,19.7,59.4
75.9,21.8,44.9
89.5,40.2,40.8
76.1,28.4,50.5
94.8,24.7,42.1
84.7,28.9,51.6
84.1,28.5,54.4
91.1,25.2,43.7
81.2,29.7,38.5
32.9,76.9,25.1
40.2,81.5,25.2
19.1,86.0,28.2
47.3,77.5,26.1
32.0,92.6,24.5
32.2,84.9,25.9
26.4,81.6,30.4
21.8,81.1,21.5
39.6,67.8,22.2
33.0,92.5,24.7
25.6,95.0,17.8
12.4,83.5,22.5
21.8,85.7,26.2
25.5,69.8,29.4
35.2,79.2,34.2
21.4,67.8,21.5
29.6,81.9,23.8
32.8,70.0,32.2
29.3,88.9,26.7
33.7,84.6,27.2
35.1,90.6,26.0
35.7,79.3,32.2
24.6,94.4,24.8
18.6,81.0,21.6
36.7,74.8,22.8
14.9,76.4,12.9
17.3,86.1,28.9
33.4,72.3,24.8
30.0,70.7,32.5
37.0,78.2,25.1
31.7,63.7,23.8
24.5,72.0,23.6
44.4,85.1,22.1
34.6,91.2,29.6
30.5,74.8,28.5
33.1,87.2,28.2
38.4,75.7,31.6
31.6,96.6,21.6
43.9,81.6,21.7
26.1,77.4,27.1
34.2,75.4,24.9
47.1,93.8,27.2
30.3,81.0,28.1
21.8,77.9,16.7
33.2,85.2,22.6
42.6,70.2,17.7
31.8,88.4,33.4
26.3,88.6,24.8
28.6,87.1,28.3
17.4,91.8,31.9
25.0,83.2,27.5
32.1,75.6,21.6
29.8,89.4,27.7
27.0,86.2,10.8
39.2,66.1,23.2
21.0,69.6,30.8
26.3,82.8,24.8
33.8,80.6,18.6
38.0,76.0,17.2
26.6,92.0,29.3
27.2,77.2,23.4
46.6,83.1,27.2
38.2,81.9,23.7
28.4,79.4,24.8
35.8,80.4,28.7
29.4,80.6,15.0
37.3,82.8,30.0
6.8,96.7,24.3
38.9,71.7,28.1
21.6,75.0,34.6
28.5,81.7,29.4
34.0,81.2,26.8
49.2,79.5,26.0
38.4,88.8,30.9
35.1,70.9,33.2
20.8,82.4,21.2
29.5,82.6,26.6
33.4,92.9,27.3
28.0,87.7,30.9
20.2,84.8,28.5
27.6,91.0,24.2
31.0,78.6,25.1
21.2,68.5,33.0
23.2,72.1,14.2
24.9,69.4,33.2
38.1,74.5,36.3
37.9,77.4,12.5
48.3,68.9,16.8
38.2,99.5,31.9
34.5,84.8,29.3
36.1,82.2,25.5
29.5,74.0,23.6
16.5,79.2,20.1
21.2,81.4,32.0
37.3,67.4,20.1
37.5,72.1,23.9
34.4,72.3,25.5
19.3,75.2,26.6
17.3,83.5,24.9
34.4,81.8,31.8
31.0,16.6,51.0
34.3,20.4,50.3
24.4,14.7,38.8
44.0,10.0,44.5
24.3,27.2,47.6
40.0,14.6,52.2
23.3,37.2,40.5
32.5,25.1,53.3
28.5,19.0,50.4
28.8,27.7,67.7
25.5,9.0,49.3
50.6,13.6,63.1
43.4,15.6,54.6
43.0,17.0,48.4
25.3,11.9,44.8
20.2,20.3,43.8
31.9,7.6,52.6
36.7,4.1,53.0
39.8,10.3,63.4
33.4,14.4,49.6
34.5,20.6,54.3
22.6,21.4,38.7
29.1,12.8,44.1
39.9,28.7,54.9
21.3,17.5,59.7
31.1,38.6,53.1
31.5,17.5,51.1
28.8,25.7,57.7
23.7,9.4,35.3
34.1,11.2,32.8
33.1,39.9,50.0
36.7,20.7,49.2
37.4,17.7,52.1
32.6,14.7,57.9
28.6,14.0,54.3
22.8,20.2,49.9
38.7,23.8,49.8
36.5,31.1,54.5
30.1,9.5,41.5
27.6,15.1,48.5
30.5,24.2,49.4
33.9,20.5,34.2
22.5,18.8,40.3
34.8,32.2,59.8
28.3,31.9,51.2
27.3,15.1,47.6
26.9,21.4,51.3
30.0,23.5,59.5
37.6,8.1,29.6
37.5,9.1,48.2
20.6,5.6,54.3
36.1,15.4,29.3
25.6,23.1,38.2
31.5,19.9,54.6
31.0,12.2,59.6
28.7,19.8,42.5
26.5,12.9,48.6
43.7,9.0,37.1
41.8,18.3,44.6
38.3,15.2,64.6
35.4,16.1,67.3
25.2,25.9,52.4
40.4,32.5,50.3
24.0,23.7,44.6
46.1,21.1,47.1
31.5,9.2,42.2
39.6,14.7,41.6
34.3,29.5,55.8
38.0,13.9,38.6
42.0,17.4,48.0
40.6,24.4,53.6
47.3,14.9,57.4
30.5,22.1,62.2
34.1,24.3,58.6
27.1,13.3,41.6
14.3,36.4,41.2
28.2,17.8,52.5
36.5,26.9,45.3
28.7,22.3,48.0
42.9,23.9,55.9
35.3,29.4,51.4
19.6,23.2,44.8
25.8,24.7,59.9
30.2,22.5,63.6
31.9,40.8,54.5
15.9,26.0,53.0
40.3,25.4,48.9
20.2,18.3,43.2
25.4,24.7,63.4
33.2,10.4,53.6
39.6,15.1,48.9
30.1,13.7,55.2
29.0,23.4,42.9
26.5,25.8,47.0
43.8,16.8,51.8
37.5,8.7,35.9
17.8,30.1,45.6
50.5,15.5,51.5
42.3,36.0,66.5
39.7,28.2,54.7
